fecha,municipio,entidad_federativa,porc_pob,pibe,pib_mun,year_pib,total_pixeles,suma_rad_trend,media_rad_trend,std_rad_trend,max_rad_trend,min_rad_trend,p25_rad_trend,mediana_rad_trend,p75_rad_trend,year_radianza
2015-09-30,benito juarez,CDMX,0.04332147918,2751624.2,118679.84257731619,2015,106,54635.545205479444,515.4296717498062,77.59280499012186,752.2328767123289,374.9479452054795,461.5958904109589,506.7876712328767,558.9842465753427,2015
2015-12-31,benito juarez,CDMX,0.04332147918,2705692.6,119399.07281440291,2015,106,52337.44383561644,493.7494701473249,72.81186168242115,726.413698630137,367.1643835616439,443.3013698630138,484.5616438356165,533.2630136986298,2015
2016-03-31,benito juarez,CDMX,0.04332147918,2957233.6,119784.38325604415,2016,106,50972.15890410959,480.8694236236754,73.29511737732817,727.7890410958903,358.3232876712328,430.64931506849325,471.0123287671233,519.0458904109588,2016
2016-06-30,benito juarez,CDMX,0.04332147918,2632606.6,120583.81671361078,2016,106,54186.14520547945,511.1900491082968,81.30543850218174,805.6904109589041,382.2684931506849,457.2623287671234,499.1369863013698,550.2931506849316,2016
2016-09-30,benito juarez,CDMX,0.04332147918,2777401.3,121721.85735067015,2016,106,53858.54794520549,508.0995089170328,83.00303639078619,816.8246575342463,380.98630136986293,453.7863013698631,495.20136986301367,546.0671232876712,2016
2016-12-31,benito juarez,CDMX,0.04332147918,2827543.6,122483.28108392272,2016,106,50664.15890410958,477.9637632463169,78.47633292397182,764.7150684931507,356.6630136986301,426.0150684931507,465.9520547945206,515.0219178082192,2016
2017-03-31,benito juarez,CDMX,0.04332147918,3045539.9,122833.16755203849,2017,106,50843.42191780821,479.6549237529078,81.13183729779963,783.9890410958906,355.558904109589,426.6739726027397,467.0232876712329,517.0643835616437,2017
2017-06-30,benito juarez,CDMX,0.04332147918,2684909.3,122884.53328838374,2017,106,55212.7397260274,520.8749030757302,88.59819642470207,872.041095890411,388.4465753424658,463.59041095890416,506.70136986301367,561.1671232876714,2017
2017-09-30,benito juarez,CDMX,0.04332147918,2789710.7,123307.4364851019,2017,106,55403.495890410944,522.6744895321789,88.78692662897633,873.3863013698631,390.2493150684932,464.21506849315057,508.9109589041095,564.6068493150685,2017
2017-12-31,benito juarez,CDMX,0.04332147918,2824719.7,123863.07994313855,2017,106,52437.983561643836,494.69795812871547,83.95001337387062,826.164383561644,367.61369863013715,439.5335616438358,481.58493150684933,535.441095890411,2017
2018-06-30,benito juarez,CDMX,0.04332147918,2706598.0,125521.52526403256,2018,106,56781.265753424654,535.6723184285346,92.6761077169814,904.1589041095889,396.72602739726017,474.217808219178,520.8109589041096,580.9753424657534,2018
2018-09-30,benito juarez,CDMX,0.04332147918,2895109.0,125955.56587152946,2018,106,56231.54520547946,530.4862755233912,89.57188359693633,876.3534246575341,394.52602739726024,470.2397260273972,516.4917808219178,574.5404109589041,2018
